book_id,chap_num,term_str,n,tfidf
1,1,generous,3,0.0010856635096640967
1,1,gentlehobbit,1,0.00049359333569661
1,1,get,8,0.00018035337716343608
1,1,gets,1,0.000294330607789865
1,1,getting,3,0.00022259926614264983
1,1,gift,1,0.0001859852016674839
1,1,gifts,1,0.0002485568089817254
1,1,give,9,0.00015497951297797547
1,1,given,6,0.0003358845596940012
1,1,giving,1,0.0001946992438364925
1,1,glad,1,3.981343615714235e-05
1,1,glanced,1,0.0002360499959814406
1,1,glared,1,0.00039396197174323754
1,1,glass,3,0.0005333081525190484
1,1,gleam,1,0.00010434449683952943
1,1,glittering,1,0.00016999788751053996
1,1,gloves,1,0.0005932246996499825
1,1,glow,1,0.0001859852016674839
1,1,glowed,1,0.0002245448433043522
1,1,glowing,1,0.00021389273571079717
1,1,go,15,0.0
1,1,goblin,1,0.0003135240996641697
1,1,goes,3,0.00017833345793627327
